,p,rho,Method,Estimator&Signal,Average MSE
0,10,0,AIC,Adaptive Ridge Sparse,0.10789891609887652
1,10,0,BIC,Adaptive Ridge Sparse,0.10789891609887652
2,10,0,LOO-CV,Adaptive Ridge Sparse,0.035677389839515114
3,10,0.25,AIC,Adaptive Ridge Sparse,0.15542838456443087
4,10,0.25,BIC,Adaptive Ridge Sparse,0.15542838456443087
5,10,0.25,LOO-CV,Adaptive Ridge Sparse,0.05145898597190646
6,10,0.5,AIC,Adaptive Ridge Sparse,0.21913419901348918
7,10,0.5,BIC,Adaptive Ridge Sparse,0.21913419901348918
8,10,0.5,LOO-CV,Adaptive Ridge Sparse,0.07313522898827932
9,25,0,AIC,Adaptive Ridge Sparse,0.15838241222090182
10,25,0,BIC,Adaptive Ridge Sparse,0.15838241222090182
11,25,0,LOO-CV,Adaptive Ridge Sparse,0.0641274670178248
12,25,0.25,AIC,Adaptive Ridge Sparse,0.2414548212500798
13,25,0.25,BIC,Adaptive Ridge Sparse,0.2414548212500798
14,25,0.25,LOO-CV,Adaptive Ridge Sparse,0.09847797627144503
15,25,0.5,AIC,Adaptive Ridge Sparse,0.36213820514214407
16,25,0.5,BIC,Adaptive Ridge Sparse,0.36213820514214407
17,25,0.5,LOO-CV,Adaptive Ridge Sparse,0.1516232832849131
18,50,0,AIC,Adaptive Ridge Sparse,0.20654172914297309
19,50,0,BIC,Adaptive Ridge Sparse,0.20654172914297309
20,50,0,LOO-CV,Adaptive Ridge Sparse,0.13192822066022458
21,50,0.25,AIC,Adaptive Ridge Sparse,0.3177317069060615
22,50,0.25,BIC,Adaptive Ridge Sparse,0.3177317069060615
23,50,0.25,LOO-CV,Adaptive Ridge Sparse,0.20485852749432032
24,50,0.5,AIC,Adaptive Ridge Sparse,0.4863737611902812
25,50,0.5,BIC,Adaptive Ridge Sparse,0.4863737611902812
26,50,0.5,LOO-CV,Adaptive Ridge Sparse,0.33086769716109615
