,p,rho,Estimator&Signal,AIC MSE,BIC MSE,LOO-CV MSE
0,10,0.0,Adaptive Lasso Dense,0.0687630758276579,0.0694655063810537,0.0686357613215657
1,10,0.0,Adaptive Lasso Sparse,0.0289039603170757,0.0302707640018913,0.0281521159670349
2,10,0.0,Adaptive Ridge Dense,0.1824279889340063,0.1824279889340063,0.08638119066216139
3,10,0.0,Adaptive Ridge Sparse,0.10789891609887652,0.10789891609887652,0.035677389839515114
4,10,0.0,Lasso Dense,0.0684332548927495,0.0692454650722099,0.0684081868595775
5,10,0.0,Lasso Sparse,0.0288179162885409,0.0302377299347841,0.0288331339260956
6,10,0.0,Ridge Dense,0.0688492422633345,0.0688496469113973,0.0687039083545908
7,10,0.0,Ridge Sparse,0.0283564923570295,0.0283566574647145,0.0284085114435361
8,10,0.25,Adaptive Lasso Dense,0.0924941375632581,0.0935768741424912,0.0922574269800926
9,10,0.25,Adaptive Lasso Sparse,0.0416119392452588,0.0432445139772768,0.0404141484066912
10,10,0.25,Adaptive Ridge Dense,0.2617186627877609,0.2617186627877609,0.11711396455548152
11,10,0.25,Adaptive Ridge Sparse,0.15542838456443087,0.15542838456443087,0.05145898597190646
12,10,0.25,Lasso Dense,0.092734494895623,0.0939706431152333,0.0926589140015758
13,10,0.25,Lasso Sparse,0.0417837602712692,0.0435545687262034,0.0418894454464262
14,10,0.25,Ridge Dense,0.092749817367798,0.0927514766803401,0.0915942338030275
15,10,0.25,Ridge Sparse,0.0410356099438215,0.0410364707722439,0.0406762556327605
16,10,0.5,Adaptive Lasso Dense,0.1299019583980032,0.1317102865915802,0.1293020139482632
17,10,0.5,Adaptive Lasso Sparse,0.059910492891609,0.0620934909950613,0.0580085148017607
18,10,0.5,Adaptive Ridge Dense,0.3873612820397914,0.3873612820397914,0.16655030673615057
19,10,0.5,Adaptive Ridge Sparse,0.21913419901348918,0.21913419901348918,0.07313522898827932
20,10,0.5,Lasso Dense,0.1335934351214573,0.1353634047889911,0.1335156928830979
21,10,0.5,Lasso Sparse,0.0599043504915301,0.0619769976384353,0.0600960649325008
22,10,0.5,Ridge Dense,0.1308516068194291,0.1308686330888019,0.1312734561968788
23,10,0.5,Ridge Sparse,0.0582184015327518,0.0582276170651652,0.0583160675443559
24,25,0.0,Adaptive Lasso Dense,0.0622437210901415,0.0770759236699925,0.0594362948414118
25,25,0.0,Adaptive Lasso Sparse,0.0400879079987389,0.0460274205445106,0.0355301167102656
26,25,0.0,Adaptive Ridge Dense,0.19077130635914405,0.19077130635914405,0.10795590299688004
