p,rho,Method,Estimator&Signal,Average MSE
10,0.0,AIC,Lasso Dense,0.06843325489274954
10,0.0,BIC,Lasso Dense,0.06924546507220992
10,0.0,LOO-CV,Lasso Dense,0.06840818685957752
10,0.25,AIC,Lasso Dense,0.092734494895623
10,0.25,BIC,Lasso Dense,0.0939706431152333
10,0.25,LOO-CV,Lasso Dense,0.09265891400157583
10,0.5,AIC,Lasso Dense,0.13359343512145738
10,0.5,BIC,Lasso Dense,0.13536340478899114
10,0.5,LOO-CV,Lasso Dense,0.13351569288309795
25,0.0,AIC,Lasso Dense,0.06250763296010298
25,0.0,BIC,Lasso Dense,0.07670720135094365
25,0.0,LOO-CV,Lasso Dense,0.06261819374033475
25,0.25,AIC,Lasso Dense,0.08620318865614146
25,0.25,BIC,Lasso Dense,0.10296311032328102
25,0.25,LOO-CV,Lasso Dense,0.08643794070749318
25,0.5,AIC,Lasso Dense,0.1246597171447522
25,0.5,BIC,Lasso Dense,0.14236940857278718
25,0.5,LOO-CV,Lasso Dense,0.12503759292208885
50,0.0,AIC,Lasso Dense,0.05510959155109622
50,0.0,BIC,Lasso Dense,0.08808212040740362
50,0.0,LOO-CV,Lasso Dense,0.05778080851055557
50,0.25,AIC,Lasso Dense,0.07686871983041671
50,0.25,BIC,Lasso Dense,0.11546335160793067
50,0.25,LOO-CV,Lasso Dense,0.07898361562186776
50,0.5,AIC,Lasso Dense,0.11203193492807309
50,0.5,BIC,Lasso Dense,0.15758878078100577
50,0.5,LOO-CV,Lasso Dense,0.11329001810216505
