p,rho,Method,Estimator&Signal,Average MSE
10,0.0,AIC,Lasso Sparse,0.028817916288540975
10,0.0,BIC,Lasso Sparse,0.030237729934784175
10,0.0,LOO-CV,Lasso Sparse,0.028833133926095676
10,0.25,AIC,Lasso Sparse,0.041783760271269205
10,0.25,BIC,Lasso Sparse,0.043554568726203446
10,0.25,LOO-CV,Lasso Sparse,0.04188944544642628
10,0.5,AIC,Lasso Sparse,0.05990435049153011
10,0.5,BIC,Lasso Sparse,0.06197699763843538
10,0.5,LOO-CV,Lasso Sparse,0.0600960649325008
25,0.0,AIC,Lasso Sparse,0.03984928283237992
25,0.0,BIC,Lasso Sparse,0.045480790585938506
25,0.0,LOO-CV,Lasso Sparse,0.04007638803938852
25,0.25,AIC,Lasso Sparse,0.06079213570872582
25,0.25,BIC,Lasso Sparse,0.06860896613269651
25,0.25,LOO-CV,Lasso Sparse,0.061423226630409514
25,0.5,AIC,Lasso Sparse,0.09428190745943214
25,0.5,BIC,Lasso Sparse,0.10470471723688196
25,0.5,LOO-CV,Lasso Sparse,0.09542171383306267
50,0.0,AIC,Lasso Sparse,0.047553593563463226
50,0.0,BIC,Lasso Sparse,0.06228860604453632
50,0.0,LOO-CV,Lasso Sparse,0.048276590817463584
50,0.25,AIC,Lasso Sparse,0.07685739615035578
50,0.25,BIC,Lasso Sparse,0.09646530277785231
50,0.25,LOO-CV,Lasso Sparse,0.07807141097657888
50,0.5,AIC,Lasso Sparse,0.12485344759380357
50,0.5,BIC,Lasso Sparse,0.15092523209935968
50,0.5,LOO-CV,Lasso Sparse,0.12725897829104896
