p,rho,Method,Estimator&Signal,Average MSE
10,0.0,AIC,Adaptive Lasso Dense,0.06876307582765796
10,0.0,BIC,Adaptive Lasso Dense,0.06946550638105377
10,0.0,LOO-CV,Adaptive Lasso Dense,0.06863576132156572
10,0.25,AIC,Adaptive Lasso Dense,0.09249413756325811
10,0.25,BIC,Adaptive Lasso Dense,0.09357687414249127
10,0.25,LOO-CV,Adaptive Lasso Dense,0.0922574269800926
10,0.5,AIC,Adaptive Lasso Dense,0.12990195839800323
10,0.5,BIC,Adaptive Lasso Dense,0.1317102865915802
10,0.5,LOO-CV,Adaptive Lasso Dense,0.12930201394826327
25,0.0,AIC,Adaptive Lasso Dense,0.06224372109014154
25,0.0,BIC,Adaptive Lasso Dense,0.07707592366999252
25,0.0,LOO-CV,Adaptive Lasso Dense,0.05943629484141189
25,0.25,AIC,Adaptive Lasso Dense,0.085660237992829
25,0.25,BIC,Adaptive Lasso Dense,0.10210454171644001
25,0.25,LOO-CV,Adaptive Lasso Dense,0.08085046861389135
25,0.5,AIC,Adaptive Lasso Dense,0.12486836366095082
25,0.5,BIC,Adaptive Lasso Dense,0.1416718417873101
25,0.5,LOO-CV,Adaptive Lasso Dense,0.11717369274935666
50,0.0,AIC,Adaptive Lasso Dense,0.05433367503388483
50,0.0,BIC,Adaptive Lasso Dense,0.08665910293198706
50,0.0,LOO-CV,Adaptive Lasso Dense,0.040993277367647254
50,0.25,AIC,Adaptive Lasso Dense,0.07729863091046474
50,0.25,BIC,Adaptive Lasso Dense,0.11725922385218832
50,0.25,LOO-CV,Adaptive Lasso Dense,0.05704659714847813
50,0.5,AIC,Adaptive Lasso Dense,0.11079380672253185
50,0.5,BIC,Adaptive Lasso Dense,0.156036596010515
50,0.5,LOO-CV,Adaptive Lasso Dense,0.08141719555401647
