p,rho,Method,Estimator&Signal,Average MSE
10,0.0,AIC,Ridge Sparse,0.028356492357029514
10,0.0,BIC,Ridge Sparse,0.028356657464714587
10,0.25,AIC,Ridge Sparse,0.041035609943821556
10,0.25,BIC,Ridge Sparse,0.0410364707722439
10,0.5,AIC,Ridge Sparse,0.05821840153275188
10,0.5,BIC,Ridge Sparse,0.058227617065165244
25,0.0,AIC,Ridge Sparse,0.03525392055313876
25,0.0,BIC,Ridge Sparse,0.0352564612501253
25,0.25,AIC,Ridge Sparse,0.05376847319605619
25,0.25,BIC,Ridge Sparse,0.053781329403454405
25,0.5,AIC,Ridge Sparse,0.08296448293942331
25,0.5,BIC,Ridge Sparse,0.08306401251518472
50,0.0,AIC,Ridge Sparse,0.03108603955481364
50,0.0,BIC,Ridge Sparse,0.031117472479003906
50,0.25,AIC,Ridge Sparse,0.04814015545471513
50,0.25,BIC,Ridge Sparse,0.04824581768464309
50,0.5,AIC,Ridge Sparse,0.07762461114375446
50,0.5,BIC,Ridge Sparse,0.07809188502803673
10,0.0,LOO-CV,Ridge Sparse,0.028408511443536167
10,0.25,LOO-CV,Ridge Sparse,0.040676255632760505
10,0.5,LOO-CV,Ridge Sparse,0.05831606754435595
25,0.0,LOO-CV,Ridge Sparse,0.03561544087935016
25,0.25,LOO-CV,Ridge Sparse,0.053443078484835024
25,0.5,LOO-CV,Ridge Sparse,0.08244931769317865
50,0.0,LOO-CV,Ridge Sparse,0.030862269416478516
50,0.25,LOO-CV,Ridge Sparse,0.04889395053305507
50,0.5,LOO-CV,Ridge Sparse,0.07827559428941078
